content,author
"The BJP’s tally in the Gujarat Assembly polls was restricted to 99 seats because “butchers”, “bootleggers” and those opposing the proposed triple talaq Bill didn’t vote for the party, Minister of State for Home Pradeepsinh Jadeja said on Thursday, 22 February. In the elections held last December, the BJP managed to retain power for a sixth straight term though its tally fell to 99 seats. The Congress won 77 seats in the 182-member House. He was speaking on the Motion of Thanks to Governor OP Kohli’s 19 February address to the House on the first day of the Budget Session, when the topic veered towards the BJP’s poll performance following a dig by the Congress. Jadeja said the Congress gained only 77 seats though its leaders tried to incite people through casteist and communal politics. “Congress leaders used to claim ahead of the polls that the party will come to power by winning over 125 seats. However, they got only 77 seats,” he said. In an apparent dig at Congress president Rahul Gandhi, Jadeja said, “Though a top Congress leader, who never visited temples before, visited so many temples ahead of the polls, it did not help the party come to power in Gujarat”. Jadeja said the BJP came to power “with the votes of rural people, youths who got employment, and women who benefited from the policies of the government”. Meanwhile, in a veiled attack on Prime Minister Narendra Modi, Congress MLA Vikram Madam said, “Good dialogues will help a movie to become successful (but) to run a country successfully, you need concrete plans… It was the BJP’s vision to win 150 seats. You need to do an introspection as to why you were reduced to just 99.” (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
"In his Rajya Sabha debut, BJP president Amit Shah hit back at Congress' ""Gabbar Singh Tax"" barb and said that tax collected is used to fund pension, development schemes. The   Session of the Parliament is set to resume on Monday after Finance Minister Arun Jaitley tabled the Union Budget 2018-19 on 1 February, the Narendra Modi's government's last full Budget before the 2019 Lok Sabha elections. The first leg of the session will be held between 29 January and 9 February. Following a recess after 9 February, the Parliament will convene again between 5 March and 6 April. Some of the issues likely to find limelight on Monday in both Houses are listed here: Upset over ""injustice"" to Andhra Pradesh in Union Budget 2018-19, the TDP, a key ally of the BJP, on Sunday decided to raise the issue in Parliament. Andhra Pradesh chief minister and Telugu Desam Party (TDP) president N Chandrababu Naidu asked his party MPs to pressurise the BJP-led NDA government to undo the injustice. At the TDP Parliamentary Board meeting in Amaravati on Sunday, Naidu said the party would begin its fight by raising the issue in Parliament, sources revealed. He made it clear that this was only the first step. The TDP chief said the party's next course of action would depend on the response of the Modi government. The Board discussed in detail the Union Budget and the Centre's failure to address the pending issues of the state. Some TDP leaders suggested that both the central ministers of the TDP should quit to put pressure on the BJP. Naidu, however, said the party should first raise the issue in Parliament. TDP leader and Union Minister of State for Science and Technology Y Sujana Chowdhary told reporters MPs would try to put pressure on the Centre to honour all commitments made to the state at the time of its bifurcation from Andhra Pradesh in 2014. According to reports, the Congress and some Opposition parties have made it clear that they will press for discussion in both Lok Sabha and Rajya Sabha on the ""crisis in judiciary"" following the issues raised by four senior judges of the Supreme Court in an unprecedented press conference in January this year. The government on Friday made it clear in Parliament that it will   between the Chief Justice of India and the four senior-most judges of the Supreme Court, saying the judiciary is capable of handling its ""internal matters"". Responding to three separate questions in the Rajya Sabha on the ""rift"" in the higher judiciary, the government said it has not received any information about it from the Supreme Court. Minister of State for Law PP Chaudhary replied in a negative when asked whether the government has ""assessed the impact of the rift"" in the apex court. ""Judiciary, being an independent organ under the Indian Constitution, is capable of handling its internal matters. The government is committed to the independence of judiciary,"" he said in a written reply to one of the questions. According to reports, the Narendra Modi government has said it   passed in the Rajya Sabha this Budget Session. The Lok Sabha had passed the bill seeking imprisonment for Muslim men convicted of practising instant triple talaq, but a united Opposition had stalled it in the Rajya Sabha, where the NDA lacks a majority. Besides the triple talaq legislation, which criminalises instant talaq by Muslim men, the government is also likely to make a pitch for the passage of the OBC bill, which seeks to give a constitutional status to the OBC commission. The BJP hopes to consolidate its support among backward classes by according constitutional status to the OBC commission, which, it believes, will give it more teeth. Apart from the above issues, the Opposition has also protested the absence of bills for women's reservation in Parliament and the quota for SC/ST.",FP Staff
" The CPM on Wednesday alleged that the Prime Minister Narendra Modi who had made a poll promise of creating two crore jobs is now assuring ""pakoda jobs"" to millions of people looking for work. Modi in a television recent interview claimed that people earning Rs 200 a day selling pakodas can be considered employed. ""Now we have it from the prime minister himself that massive employment has been created by people selling goods on streets,"" former CPM general secretary Prakash Karat wrote in an editorial in the party journal ""People's Democracy"". ""What the prime minister promises is more 'pakoda jobs' for millions of new entrants to the job market,"" it read. The CPM leader termed Modi's remark a ""cruel joke"". The ""pathetic claim"" of Modi has exposed the ""abject failure"" of his government in generating employment in the past three and a half years, Karat wrote. Citing 'Report on Employment-Unemployment Survey 2015-16', he pointed out that nearly half of India's workforce (46.6 percent) is self-employed out of which 41 percent earn up to only Rs 5,000 a month. The Left leader argued that people become ""self-employed"" because there is no regular employment or jobs available in the formal sector. ""Thanks to the neo-liberal policies, there is a type of economic growth which does not produce jobs, except low-paid jobs in the informal sector and mainly contractual jobs in the organised sector,"" he wrote. The economic slowdown and demonetization have killed off-job prospects and shrinking opportunities for rural employment have aggravated the situation, Karat said.",PTI
"Abhishek Sharma Addressing a press conference on Thursday, 13 September, Congress President Rahul Gandhi reiterated his demand for Finance Minister Arun Jaitley’s resignation over his alleged “collusion” with fugitive liquor baron Vijay Mallya. Mallya had on 12 September said that he met Arun Jaitley right before leaving for London. Gandhi called the issue an “open and shut case,” alleging an under-the-table deal between the government and Mallya. (Read the full story  ) After Apple COO Jeff Williams announced the new series 4 Apple Watch, CEO Tim Cook announced the most anticipated smartphone in the world, the new iPhone XS and gave the stage to Philip Schiller to introduce the new, most powerful iPhone ever. Now, the thing everyone is always curious about - the price. The iPhone XS will start at Rs 99,900, while the XS Max is estimated to start from Rs 1,09,900 price range. The phones will come in three storage variants - one 64 GB variant, one 256 GB and a 512 GB variant and will be available in India by the end of this month. The phones however, look exactly like last year’s iPhone X. (Read the full story  ) Fugitive businessman Vijay Mallya might not be lodged in the same cell as shown in the eight-minute video submitted by the Indian government in the Westminster Court in London. He will not be given any special privileges or treated as a high-security prisoner and kept in isolation, said Special Inspector General (Prisons) Rajwardhan in Maharashtra in an exclusive telephonic conversation with  . Rather, he will be lodged with other inmates in Barrack number 12 of the Arthur Road Jail. Mallya had earlier filed an application in the London Court, saying that Indian jails were overcrowded with poor hygiene conditions, as his defence for not being extradited to India. (Read the full story  ) Asian and Commonwealth Games gold medallist Neeraj Chopra said in a conversation with   that there was a lot of chat about how this year would pan out for him in the beginning of 2018. During an event in New Delhi, the javelin-thrower expressed that he is feeling good after winning two gold medals. When he was asked which actor should play the lead if a biopic is made on him, Chopra said he would like Randeep Hooda to be the one. (Read the full story  )  starts off innocuously. Two sisters Preeti (Riya Sisodiya) and Sonia (Mrunal Thakur) capering around each other share a joke about a fellow classmate they fancy. There are shy glances, innocent chatter about emails, butterflies and a romantic first kiss. Their drought-stricken farmer father (Adil Hussain) is on the brink of a breakdown. The only solution he can think of is to sell off his older daughter Preeti to the local landlord Dada Thakur (Anupam Kher). Adil Hussain expertly mines the weariness on his face as we try and fathom his helplessness. Wailing and howling Preeti is forcefully handed off to Anjali (Sai Tamhankar) who whisks her away to Mumbai where she is supposed to be put to “work”. Sonia cant anticipate what fate awaits her sister but unable to bear the separation she stealthily leaves home to meet Dada Thakur in the dead of night. Having crossed the rubicon as it were there is never any time left to turn back. (Read the full story  ) It’s Ganesh Chaturthi! And the ‘Avval Number’ God of Bollywood, and the prime pachyderm of the pantheon is all set for his birthday celebrations. Speaking of celebrations, isn’t Ganesha the first celebrity among Gods? It is only fitting that he has his own Instagram page. Here’s what his insta-stories look like. Check them out, and don’t forget to share! (Read the full story  ) (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"Christopher Wylie, a former employee-turned-whistleblower of data firm Cambridge Analytica, said that India’s Congress party was a client of the disgraced firm in his deposition hearing in the UK House of Commons. When asked if Cambridge Analytica “focused on the world’s largest democracy” – a major market for Facebook which has “lots and lots of elections” – Wylie said he believed Congress was one of their clients. Wylie added that he could provide the court with documentation regarding Cambridge Analytica’s Indian operations. Wylie's earlier testimony also came up in the hearing about his Romanian predecessor, who worked in India and was found dead in Kenya in 2012 ""with bits of his skull missing"". ""According to reports from India, apparently he was really paid for by an Indian billionaire who actually wanted the Congress to lose. So he was pretending to work for one party but really... paid underhand by others,"" Paul Olivier, a data protection specialist said, suggesting that Romanian, Kenyan and Indian journalists cooperate with each other in the investigation. The Congress, however, categorically denied the accusations and reiterated their stand that the party had no business dealings with Cambridge Analytica and added that the firm helped the BJP in the 2014 Lok Sabha elections. The BJP and the Congress have been sparring over their alleged connections to Cambridge Analytica ever since the data breach scandal came to light. The IT Minister had earlier alleged that the British firm helped in increasing Rahul Gandhi’s Twitter popularity. Surjewala, meanwhile, said it was the BJP which hired the services of the controversial firm during Bihar state polls as well as for its 'Mission 272-plus' campaign. While both parties denied their own involvement, Cambridge Analytica’s Indian arm Ovelina Business Intelligence (OBI) had both BJP and Congress listed as its clients on the website, which has now been taken down. Soon after the reports of Wylie’s deposition, the BJP called out the Congress and said the party owes the nation an apology. Law and IT Minister Ravi Shankar Prasad said, “This vindicates what we have been saying from day one. Rahul Gandhi has been trying to divert attention all this while.” Cambridge Analytica, meanwhile, issued a statement clarifying that Wylie had no direct knowledge of their work or practices post July 2014, which was when he left the company. The firm further said that Wylie had misrepresented the company in his deposition and that whatever he said was speculative by nature. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"Images of Prime Minister Narendra Modi and Chief Minister Shivraj Singh Chouhan will be displayed on two tiles in houses to be built in Madhya Pradesh under the Pradhan Mantri Awas Yojana (PMAY), according to a state government order that has sparked criticism from the opposition which alleged that a wrong precedent was being set by ""politicising"" a scheme meant for the poor. Each unit will have two such tiles — one on the kitchen wall and the other at the entrance of the house, the order issued by Urban Administration and Development Department of the state government on 4 April said. It directed the commissioners of municipal corporations and chief municipal officers of municipalities in the state to ensure that the two ceramic tiles of 450X600 mm size each are installed in every PMAY house. The middle portion of each tile will have 'Pradhan Mantri Awas Yojana - Urban' written in English as well as Hindi along with the scheme's logo. While Modi's photo will be on the left side of this logo, Chouhan's will be on the right. Next to the slogan on the top, the logo of the state government and a small-size picture of BJP ideologue Deendayal Upadhyay will be printed. The order was issued following the directives given by the Chief Minister on 2 January, during a meeting on the PMAY scheme. However, the opposition Congress termed the move as ""completely wrong"". The ruling saffron party, however, maintained that there was nothing wrong in it. State BJP spokesperson Rajnish Agrawal said, ""There was no intention of politicising any issue. This is for the first time in the country's history that a target has been set to provide a house to every poor. There is nothing wrong if the pictures of the PM and the CM are being put up at the entrance and inside the kitchen."" (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
"In a scathing attack on Congress president Rahul Gandhi, Telangana's caretaker chief minister K Chandrashekar Rao on Thursday said that Gandhi was ""the biggest buffoon in the country"". ""Everyone knows that Rahul Gandhi is the biggest buffoon in the country. The whole country saw how he went to Prime Minister Narendra Modi and hugged him in the Parliament...He is a property for us, the more he comes (to Telangana), the more seats we will win,"" Rao said at a press conference. ""Rahul Gandhi inherited the legacy of Congress's Delhi sultanate,"" Rao further said. In response, Congress called Rao a ""buffoon"" too and said that ""this is the end of an era of a dictator who is more dangerous than Hitler."" Rao's remarks against the Congress chief came on a day when the   by the governor on recommendation by the state cabinet. Governor ESL Narasimhan accepted a resolution of the cabinet recommending dissolution of the Assembly. He asked Rao and his council of ministers to continue in office as caretaker government. Ending the suspense, the state cabinet passed a resolution for dissolution of the Assembly at the meeting held at Pragati Bhavan, the official residence of the chief minister. Immediately after the cabinet meet that lasted for less than half hour, Rao drove to Raj Bhavan to meet the governor. For the last few weeks, Rao had been giving strong indications of going for early polls. Political observers say the TRS is keen for early elections as the party believes that simultaneous elections to Assembly and Lok Sabha may not help it properly highlight welfare and developmental works undertaken during the last four years. Rao will formally launch the TRS election campaign with a public meeting at Husnabad in Siddipet district on Friday. Christened 'Prajala Aasirwada Sabha', this will be the first of 100 public meetings planned by TRS over the next 50 days.",FP Staff
"Goa Chief Minister Manohar Parrikar on Wednesday claimed that his   on girls drinking beer was taken out of context, and that he had only referred to “school and college students”, PTI reported.  “It was twisted in such a way that finally the interviewer had to intervene and tweet that I was referring to school and college students,” the chief minister said, adding that he had “not asked anyone not to drink”. Parrikar claimed that he had used the word “worried” and not fear. “Worry is different from fear.” Asked about his Cabinet colleague Vijai Sardesai’s   on domestic tourists who visit the state, the chief minister said the minister should have been careful while making the statement.  “He should not have used very harsh words,” Parrikar told PTI. “I have spoken to him about it. He was not wrong in what he was highlighting. But he interpreted it in a wrong way or rather, he was not able to express it correctly.” Parrikar said the judiciary should take into account that it is impossible for governments to disrupt their state’s economic trajectory all of a sudden,   reported. He was commenting on the Supreme Court’s decision to quash the Goa government’s order to renew the licenses of mining companies in the state. Without going into the merits of the judgement...Goa is facing economic problems – is a fact,” Parrikar said. Fresh leases will be issued only after the companies obtain environment clearances and the government has to start a fresh auction process, the top court had said in is ruling on February 7.",Scroll Staff
"As retired defence personnel rally for One Rank One Pension scheme (OROP), Congress President Rahul Gandhi met former service officers at party headquarters on Saturday, 27 October. Gandhi told the former military personnel that if voted to power in 2019, “Congress will fulfil all their demands, including OROP,” and keep all the commitments the party has made towards the country’s soldiers. Further, raking up the Rafale deal controversy, he said the Narendra Modi government had enough money to hand out Rs 30,000 crore to industrialist Anil Ambani, but refused to meet the demands of the soldiers on OROP. The Congress has alleged that the Anil Ambani-led company was favoured by the Modi government on the offset contract of the Rafale deal. The private firm, however, has denied the allegations. After the 30-minute meeting, Gandhi added that the Modi government needs to amend their approach to the OROP issue. He went on to promise the ex-servicemen that if voted to power, Congress will fulfil all their demands. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
" The Congress on Saturday accused Prime Minister Narendra Modi of trying to “influence” voters in Karnataka on the polling day through his temple visits in Nepal. Modi on Saturday prayed at   iconic Muktinath temple that is regarded sacred by both Hindus and Buddhists, becoming the first world leader to offer prayers there. He also offered prayers at the Pashupatinath temple, located on the banks of the Bagmati river. The Pashupatinath temple is regarded as the most sacred and oldest temple of Shiva (Pashupati) in Nepal. Polling is underway in 222 out of 224 seats in Karnataka which is witnessing a three-cornered contest. Senior Congress leader Ashok Gehlot alleged that the prime minister had timed his visit to the Himalayan nation on the Karnataka poll date, and was ""giving a message to Hindus"" in the southern state. Alleging violation of the model code of conduct, he said Modi's temple visits in Nepal were being aired on the day of polling in Karnataka. “This is not a good tradition in a democracy. In Gujarat also, he held a road show after voting. Today, he has adopted a new path. When Karnataka is polling today, he has gone to Nepal and is worshipping in temples there, as he could not do so in the southern state due to elections,"" Gehlot said. The AICC general secretary said Modi, through his temple visits, was giving out a message to voters in Karnataka of how religious he was and that he was a Hindu. ""If one asks him (Modi), no other person is Hindu, except the BJP and RSS people, besides him and Amit Shah,"" he said. On the Nepal visit being planned earlier, the former Rajasthan chief minister reiterated that the prime minister had timed his Nepal visit to coincide with the Karnataka polls.",PTI
"The buzz around Congress chief Rahul Gandhi hugging PM Narendra Modi in Parliament refuses to die down. Interestingly, while the ruling party has criticised the act, NDA leaders, including the PM, were caught on camera laughing during the incident in the Lok Sabha on 20 July. Even Rajnath Singh was seen smiling. However, after PM Modi mocked Gandhi’s “dramatics”, all party leaders seemed to have unanimously concluded that the Congress chief had broken the decorum of the Lok Sabha. While Rajnath Singh called it a “Chipko Andolan”, Union Minister Harsimrat Kaur Badal said Rahul was on drugs. BJP MP Kirron Kher said that Rahul Gandhi should head to Bollywood for his love of “doing drama in the house”. On 23 July, Goa BJP spokesperson Dattaprasad Naik added to the string of names being used to criticise Gandhi, by saying that he had winked “like a loafer”. Meanwhile, the Opposition party MLA Aleixo Reginaldo Lourenco on Tuesday, 24 July, hit back at the BJP leader calling him a ""bootlegger"". ""Naik's party (BJP) has lost credentials and lost touch with human nature. Naik is a bootlegger,"" Lourenco told reporters on the sidelines of ongoing Monsoon Session of the Assembly. Lourenco, who represents Curtorim Assembly segment in South Goa, said Gandhi was neither involved in any illegal activity nor in any kind of crime. Even Twitter did not take too kindly to the BJP leader’s comments. Those who called out Naik for the comment seemed to have the same question to ask: (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"BJP leader Chander Prakash Ganga, who drew criticism for attending a rally in support of the accused in Kathua rape case, alleged that BJP's state party leadership had sent the leaders to attend the meeting of the Hindu Ekta Manch. “We were sent by the party. Our party president Sat Sharma sent us. We went there on the party’s instruction,” he said, speaking with   on Saturday. ""If my resignation can save the image of my party, I will give this sacrifice,"" he added.  the Ganga also vouched that he never practised ""politics for power"". Ganga and another BJP leader Choudhary Lal Singh's resignation was announced on Saturday after the party faced criticism over the two BJP leaders' participation in a rally supporting those arrested for the rape and murder of an eight-year-old in Jammu and Kashmir's Kathua. Earlier on Saturday, BJP national general secretary  , said, ""The resignations of two BJP ministers in the Jammu and Kashmir government have been accepted and now being forwarded to Chief Minister Mehbooba Mufti."" Ganga, however, denied any pressure to resign. ""There was no pressure on me to resign, I have done it by myself,"" he said.  on the same vein earlier on Saturday. He defended his participation in the rally, saying that it was meant to defuse the situation and restore normalcy. ""We had gone to defuse the situation created due to migration one and half months back. We told them they should go back. Abdul Gani Kohli (minister) was sent to the house of the victim so that an ugly situation was not created,"" Lal told reporters. He said they had gone to Rasana as they had a responsibility to reach out to the people. ""Migration had taken place. Our party leadership, the party president, sent us there with responsibility. They did the right thing. We sat with over 5,000 people and made them understand. They heard us and went back to their homes,"" he claimed. Both the leaders also reiterated their demand for a CBI inquiry into the rape-and-murder of the eight-year-old girl in Kathua. “To safeguard the interest of Jammu, I will not hesitate to fight the government or meet the prime minister personally and reiterate the demand for a CBI probe into the Kathua rape-and-murder case which is the demand of lakhs of people,” Ganga said. Earlier in the day, Singh also sought a CBI probe and said, “What is wrong with it. The agency will not indulge in any wrongdoing.""",FP Staff
" A Delhi court on November 1 extended the protection from arrest to former Union minister P. Chidambaram and his son Karti Chidambaram till November 26 in the Aircel-Maxis money laundering case filed by the CBI and the Enforcement Directorate. The ED filed a reply to Chidambaram’s plea for anticipatory bail in the case on October 31, maintaining that his custodial interrogation was necessary as he was evasive and non cooperative in the probe. On Thursday, senior advocates Kapil Sibal and A.M. Singhvi, appearing for Chidambaram, submitted that they will argue on the anticipatory bail application and also respond to the ED’s reply. Taking note of Chidambaram’s submission, special judge O.P. Saini extended till November 26 the protection from arrest granted to him. Chidambaram filed his anticipatory bail application in May this year. His protection from arrest has been extended from time to time. “We have to meet a deadline and he (Chidambaram) is not cooperating,” additional solicitor general Tushar Mehta, appearing for the CBI and the ED, told the court. “From the conduct of the petitioner, which gets amply demonstrated from the records available, the investigating agency has reached a bona fide conclusion that in the absence of custodial interrogation, it will not be possible to reach the truth of the allegations as the petitioner has chosen to be evasive and non-cooperative,” the ED said on Wednesday. It sought Chidambaram’s custodial interrogation, saying he has not been cooperating with it in the probe and therefore making it difficult to complete the investigation in a time-bound manner as directed by the Supreme Court. The senior Congress leader’s role has come under the scanner of investigating agencies in the Rs 3,500-crore Aircel-Maxis deal and the INX Media case involving Rs 305 crore. In its charge sheet filed earlier in the case against former telecom minister Dayanidhi Maran, his brother Kalanithi Maran and others, the CBI alleged that Chidambaram granted FIPB (Foreign Investment Promotion Board) approval in March 2006 to Mauritius-based Global Communication Services Holdings Ltd, a subsidiary of Maxis. The Maran brothers and the other accused named in the CBI charge sheet were discharged by the special court, which said the agency had failed to produce any material against them to proceed with the trial. The ED is also probing a separate money-laundering case in the Aircel-Maxis matter, in which Chidambaram and Karti have been questioned by the agency.",PTI
"The Bharatiya Janata Party will have much to cheer about on Saturday, with results to Assembly elections in three North East Indian states – Meghalaya, Tripura and Nagaland – putting the saffron outfit in the driver’s seat in the region. Although final results are yet to be declared, the trends by afternoon suggested that the Bharatiya Janata Party was set to win outright in Tripura and was likely to be in a position to form the government in both the other states, though that will still depend on successfully stitching up alliances with regional players.  While the main focus has been on the BJP’s performance across the three states, the results are likely to also turn the spotlight on the shrinking presence of the Congress – which was once the pole around which elections in the region operated – as well as the diminishing fortunes of the Left, which is on course to be out of power in Tripura for the first time in 25 years. In Nagaland and Meghalaya, local players have taken the place that was once occupied by the Congress.  Trends from the Election Commission suggest that the BJP has managed to bring down the Left government, which had been in power in the state for 25 years. As of 3.30 pm, the alliance of the BJP and the Indigenous People’s Front of Tripura were leading in as many as 43 seats, which would put them well over the half-way mark of 30 in the 60-strong Assembly. The Left, at the same time, had leads in just 16 seats, down from the 50 it had managed in 2013. If these trends hold, the BJP – which had just 1.54% of the vote share in elections five years ago – will form the government along with the IPFT, its junior partner.  You can follow live results  . Results in Meghalaya are the least certain of the three states where counting took place on Saturday, in part because of how well spread out the vote share was. More than five parties got vote shares of over 10% each, meaning the final result is likely to be a hung Assembly, especially since there were no major pre-poll alliances among parties even though some of them are allied outside the state.  As of 3.30 pm, the incumbent Congress is on course to be the single largest party, with 21 seats in the 60-strong Assembly. The National People’s Party, which is part of the BJP-led National Democratic Alliance at the Centre but was not contesting in an alliance with it in the state, is leading in 19 seats. These are followed by a clutch of smaller regional parties, and the BJP, which is leading in just 2 seats.  Despite this result, the BJP might still be in a position to be part of the government in the state, considering its relationship with the NPP, and the likelihood that the regional parties may work to build an alliance that keeps the BJP-ruled Centre on their side.  You can follow live updates  . In  , the BJP   its 15-year-old alliance with the ruling Naga People’s Front ahead of elections to tie up with the newly formed Nationalist Democratic Progressive Party, run by former Chief Minister Neiphiu Rio. The main fight in the state was thus likely to be between the incumbent NPF and the challenger NDPP, along with its junior ally, the BJP.  As of 3.30 pm, the NDPP-BJP alliance is leading in 27 seats, while the NPF along with its ally, the National People’s Party, is leading in 25 seats. If those are the final results, the 60-member Assembly would be hung, forcing either side to cobble together an alliance that would constitute a majority. Analysts expect that the BJP will be a part of the government, whether it involves the NDPP or the NPF, since its position of power at the Centre gives it leverage.  You can follow live updates for the Nagaland results  . The Assembly elections were held in Tripura on February 18 and in Nagaland and Meghalaya on February 27. The polls were marred by faulty voting machines and violence in some constituencies. The Election Commission had ordered re-polling in at 11 booths in eight constituencies in   and at six booths in six constituencies in  .",Scroll Staff
" Maharashtra Navnirman Sena (MNS) chief Raj Thackeray has urged all political parties to boycott elections till the Verifiable Paper Audit Trail (VVPAT) machines or the ballot paper system are not made available. In a letter written to chiefs of various political parties, he said since the elections in 2014, there have been doubts about the credibility of the Electronic Voting Machines (EVMs). The allegations that EVMs are being tampered have been confirmed in all subsequent polls, he claimed. ""In so many constituencies, our corporators and MLAs worked relentlessly and yet they faced defeat. In fact, in so many places the candidates got zero votes. Now, how is this possible?"" Thackeray questioned. He said the First World countries like USA, England, Germany, the Netherlands, Japan and Korea chose to discontinue the use of EVMs and reinstated the ballot system. ""The only countries still using EVMs are India, Nigeria, Venezuela, among others. Why are we insisting on this disputable method?"" the MNS chief asked. One cannot push aside the possibility of EVMs being hacked during the Lok Sabha and Assembly polls due next year, he said, adding that the fundamental right of freedom of expression stands infringed. ""To add to this, if even the Election Commission is coming under siege, then we, as a democratic country, will cease to exist,"" he said. ""I appeal to all political parties to come together and demand that till the time VVPAT machines or ballot paper system are not made available, we will not fight elections,"" Thackeray said. MNS secretary Sachin More told   that along with the letter, Thackeray has also enclosed a pen drive having an audio-visual demonstration of how EVMs can be hacked, which has already been demonstrated in the Delhi Assembly. VVPAT is a method of providing feedback to voters using a ballot less voting system. It is an independent verification system for voting machines designed to allow voters to verify that their vote was cast correctly.",Press Trust of India
"A man was allegedly lynched by a mob on Wednesday, November 28, near a tea garden in Malbazar on suspicion that police had released him and one other in connection with the killing of a youth, a police officer said. The incident took place at a labour colony near Sonagachi tea garden, when the mob allegedly set fire the house of one of the accused and lynched him, the officer said. Two men, including the accused, were earlier in the week detained by police for questioning in a case relating to the killing of the youth, who was looted while returning home after a gambling session on Monday. Rumours spread on Wednesday that police had released the duo, following which locals went on the rampage, he said. Police have arrested two people for Wednesday’s incident and further investigation is underway.",PTI
"A local court on Saturday, 1 September, directed further investigations in the case involving Army officer Major Leetul Gogoi “fraternising” with a local woman and asked police to submit a report by 18 September. The court of Chief Judicial Magistrate (CJM) Srinagar also observed that the investigations into the case have been conducted in a very casual manner without ascertaining the real facts. The court said: Hearing a petition filed by Chairman of International Forum for Justice and Human Rights (IFJHR) Muhammad Ahsan Untoo, the CJM directed station house officer (SHO), police station Khanyar to submit a detailed report by 18 September. ""SHO police station concerned shall submit a detailed report by or before next date of hearing on 18 September,” the order said. The court said it appears that the ""investigation in the matter has been conducted in a very casual manner without ascertaining the real facts"". ""Role of Sameer Malla, an Army personnel, has not been ascertained by the investigating agency as to why he accompanied the said girl to the hotel,"" the order said. As per the statement recorded before the executive magistrate during enquiry, Major Gogoi has uploaded his name as Ubaid Armaani thereby creating a fake Facebook account that also needs thorough investigation in terms of IT act, the order said. Untoo had filed an application before the CJM on 23 May after Major Gogoi was detained by police following an altercation at a hotel here where he was allegedly trying to enter with an 18-year-old woman. The Army officer, who was at the centre of the 'human shield' controversy last year, has recently been indicted by an Army court of inquiry (CoI) for ""fraternising"" with a local woman, paving the way for possible court martial. A disciplinary action has been recommended against Major Gogoi after the CoI, conducted by a brigadier, indicted him for the Srinagar hotel incident on 23 May. The findings of the CoI have been vetted by the General Officer Commanding of the 15 Corps, based in Srinagar. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
": The Congress on Thursday suffered a split in the Bihar Legislative Council, after former state party chief Ashok Choudhary and three other members of the Congress Legislature Party in the Upper House were recognised as members of the ruling JD(U). The four Congress MLCs — Ashok Choudhary, Dilip Choudhary, Ramchandra Bharti and Tanweer Akhtar — had on Wednesday officially sought recognition as MLCs of the JD(U), the Council's officiating chairman Haroon Rashid said. ""The application of the four Congress members has been accepted,""  Rashid told  . The Congress earlier had six MLCs in the House. Ashok Choudhary, along with the three, on Thursday announced they would quit the party and accused its general secretary CP Joshi of having treated them as ""objects"" that were supposed to be ""used and thrown"". ""Joshi was kind of pushing me out of the Congress,"" Ashok Choudhary had alleged. State Congress president Kaukab Qadri on Thursday said the the four were expelled from the party. ",PTI
